date,max,min,1,2,3
2016/6/28,25,21,小到中雨~大雨,西南风,3-4级
2016/6/29,28,22,阴~多云,东南风,3-4级
2016/6/30,33,25,多云~雷阵雨,东南风,3-4级
2016/7/1,26,23,大到暴雨,东南风,3-4级
2016/7/2,26,22,中到大雨~暴雨,东南风,3-4级
2016/7/3,25,22,暴雨~大雨,东南风,3-4级
2016/7/4,27,22,中雨~大雨,东南风,3-4级
2016/7/5,28,23,雷阵雨,,3-4级
2016/7/6,28,25,中雨~小雨,,3-4级
2016/7/7,30,24,雷阵雨~多云,,3-4级
2016/7/8,32,24,阴~多云,,3-4级
2016/7/9,31,24,多云~阴,,3-4级
2016/7/10,28,24,雷阵雨~中雨,,3-4级
2016/7/11,29,24,阵雨~阴,,3-4级
2016/7/12,32,26,多云~阴,东北风,3-4级
2016/7/13,32,26,中雨~雷阵雨,西南风,3-4级
2016/7/14,29,26,中雨转雷阵雨,东风,3-4级
2016/7/15,33,22,中到大雨转小雨,西风,3-4级
2016/7/16,29,22,多云,东南风,3-4级
2016/7/17,32,24,多云转雷阵雨,东南风,3-4级
2016/7/18,32,26,阴,东风,3-4级
2016/7/19,32,26,雷阵雨,南风,3-4级
2016/7/20,36,28,晴,南风,3-4级
2016/7/21,37,29,多云,西风,3-4级
2016/7/22,37,29,晴,南风,3-4级
2016/7/23,38,30,晴,西南风,3-4级
2016/7/24,38,30,晴,西南风,3-4级
2016/7/25,38,29,晴,东南风,3-4级
2016/7/26,39,30,晴,东南风,3-4级
2016/7/27,38,30,多云,北风,3-4级
2016/7/28,38,29,晴,西南风,3-4级
2016/7/29,38,30,晴,东南风,3-4级
2016/7/30,37,28,晴,东风,3-4级
2016/7/31,36,27,多云,东南风,3-4级
2016/8/1,35,27,晴,东南风,2级
2016/8/2,35,27,雷阵雨,东南风,3级
2016/8/3,32,25,雷阵雨,西北风,1级
2016/8/4,33,26,雷阵雨,东南风,1级
2016/8/5,33,26,雷阵雨,东风,2级
2016/8/6,33,26,雷阵雨,东南风,2级
2016/8/7,34,26,多云,东风,2级
2016/8/8,35,26,雷阵雨,东风,3级
2016/8/9,34,27,多云,东风,3级
2016/8/10,33,27,阵雨,东风,3级
2016/8/11,35,27,多云,东风,2级
2016/8/12,35,27,多云,东风,3级
2016/8/13,36,28,多云,东风,3级
2016/8/14,35,27,晴,东风,2级
2016/8/15,35,27,晴,东风,3级
2016/8/16,34,26,多云,东风,2级
2016/8/17,34,26,多云,东北风,3级
2016/8/18,35,28,晴,东风,2级
2016/8/19,36,28,晴,东风,2级
2016/8/20,36,27,雷阵雨,东南风,微风
2016/8/21,31,26,雷阵雨,东南风,1级
2016/8/22,34,27,多云,东北风,2级
2016/8/23,34,24,多云,东北风,2级
2016/8/24,33,23,晴,东风,2级
2016/8/25,34,25,多云,北风,1级
2016/8/26,28,23,阵雨,北风,2级
2016/8/27,29,20,多云,北风,3级
2016/8/28,30,19,晴,北风,1级
2016/8/29,30,21,晴,西北风,2级
2016/8/30,30,21,晴,西北风,1级
2016/8/31,31,22,多云,西南风,2级
